gene,systematicName,intensity
CTP1,YBR291C,0.081379682026408
VBA2,YBR293W,0.00429553264604811
SUL1,YBR294W,0.0300687285223368
PCA1,YBR295W,0.00171821305841924
PHO89,YBR296C,0.000584282792871749
,YBR296C-A,0.0524054982817869
MAL33,YBR297W,0.00945017182130584
MAL31,YBR298C,-0.000859106529209621
,YBR298C-A,0.00429553264604811
MAL32,YBR299W,0.00171821305841924
PAU24,YBR301W,2.31296463463574e-18
COS2,YBR302C,0.0158002038735984
RER1,YCL001W,0.137870855148342
,YCL001W-A,0.00343642611683849
LDB16,YCL005W,0.0129554655870445
STP22,YCL008C,0.0487077534791252
DCC1,YCL016C,0.0188524590163934
HIS4,YCL030C,1.42358974358974
STE50,YCL032W,0.0583735909822866
MXR2,YCL033C,0.255775577557756
GRX1,YCL035C,1.17977528089888
GFD2,YCL036W,0.00231023102310231
SRO9,YCL037C,0.408771929824561
ATG22,YCL038C,0.0158415841584158
GID7,YCL039W,0.0340632603406326
GLK1,YCL040W,4.15184607384295
,YCL042W,0.0125412541254125
MGR1,YCL044C,0.156989247311828
EMC1,YCL045C,0.405013192612137
POF1,YCL047C,0.111551155115512
SPS22,YCL048W,0.00792079207920792
,YCL048W-A,0.314191419141914
,YCL049C,0.0
APA1,YCL050C,0.311549100968188
LRE1,YCL051W,0.0077319587628866
PBN1,YCL052C,0.0814449917898194
SPB1,YCL054W,-0.0077319587628866
YCL054W-A,YCL054W-A,0.00858085808580858
KAR4,YCL055W,0.0157170923379175
PEX34,YCL056C,0.00348432055749129
PRD1,YCL057W,0.469148569458807
FYV5,YCL058C,
ADF1,YCL058W-A,0.0528052805280528
KRR1,YCL059C,0.148582600195503
MRC1,YCL061C,0.00881542699724518
VAC17,YCL063W,0.00198019801980198
CHA1,YCL064C,0.196261682242991
HMLALPHA2,YCL067C,-0.000509683995922528
,YCL068C,-0.00099009900990099
VBA3,YCL069W,-0.00132013201320132
GEX1,YCL073C,-0.000660066006600661
CDC10,YCR002C,0.338038364096996
YCP4,YCR004C,
SAT4,YCR008W,0.00264026402640264
ADY2,YCR010C,0.283828382838284
ADP1,YCR011C,0.138686131386861
PGK1,YCR012W,22.4461778471139
POL4,YCR014C,0.013745704467354
,YCR015C,0.04553264604811
,YCR016W,0.0747126436781609
SRD1,YCR018C,0.0190146931719965
,YCR018C-A,-2.31296463463574e-18
MAK32,YCR019W,0.0316831683168317
PET18,YCR020C,0.135108481262327
MAK31,YCR020C-A,0.0759075907590759
HTL1,YCR020W-B,0.0612021857923497
HSP30,YCR021C,3.96905876235049
,YCR022C,0.0228426395939086
,YCR023C,0.0230769230769231
SLM5,YCR024C,0.0221322537112011
,YCR025C,0.0260586319218241
NPP1,YCR026C,0.00241984271022383
RHB1,YCR027C,0.0376237623762376
